,userId,movieId,rating
0,9,3734,4.0
1,2,3199,3.5
2,0,42,3.5
3,5,1881,3.5
4,6,279,1.5
5,2,1997,3.5
6,6,6417,2.0
7,4,985,3.5
8,3,3292,3.0
9,4,1379,4.5
10,6,6192,3.0
11,2,3077,2.5
12,3,4843,3.5
13,6,138,3.0
14,2,598,3.5
15,2,4860,3.5
16,9,1572,5.0
17,9,531,4.0
18,5,3246,2.5
19,9,160,2.0
20,9,4587,3.0
21,3,2501,3.5
22,9,2972,3.0
23,1,1892,2.0
24,9,3911,4.0
25,3,4919,4.0
26,4,1295,3.5
27,6,6030,3.0
28,2,4778,5.0
29,1,1382,3.0
30,1,6486,2.5
31,5,1397,3.0
32,9,1519,4.0
33,3,1191,3.5
34,1,5288,1.5
35,3,6241,4.5
36,9,2686,2.0
37,1,4578,2.0
38,6,545,3.0
39,5,1076,3.5
40,9,268,1.0
41,1,6039,2.0
42,5,2761,3.5
43,1,3769,3.0
44,8,768,4.0
45,1,886,3.0
46,9,1531,4.0
47,5,2043,3.5
48,5,6473,3.0
49,6,1624,3.0
50,3,4728,2.5
51,9,73,3.0
52,5,1747,4.0
53,3,3735,2.0
54,6,4052,2.5
55,0,2969,4.5
56,1,1940,2.0
57,6,5051,2.5
58,5,1975,4.0
59,3,1016,5.0
60,8,290,5.0
61,6,1469,3.0
62,2,907,5.0
63,7,4617,3.0
64,0,2368,3.0
65,2,2179,4.5
66,4,1933,1.0
67,6,2503,2.5
68,6,2802,2.5
69,2,6091,2.5
70,4,2577,3.0
71,6,1322,2.5
72,3,5952,3.5
73,2,4495,4.5
74,2,2641,3.0
75,6,4891,2.0
76,6,806,2.5
77,1,219,3.0
78,6,575,1.5
79,3,814,3.5
80,1,330,2.0
81,8,6213,2.0
82,7,25,2.0
83,9,3299,3.0
84,1,4977,4.0
85,3,845,5.0
86,5,4408,2.0
87,2,1187,4.5
88,5,847,4.0
89,3,731,3.0
90,7,5186,3.5
91,1,6450,2.5
92,7,5221,3.0
93,6,5637,3.0
94,1,3235,2.5
95,9,5259,2.0
96,5,1980,2.0
97,9,3273,3.0
98,7,5871,4.0
99,9,3036,3.0
100,4,4226,4.0
101,7,1180,4.5
102,8,1328,3.0
103,1,2217,3.0
104,1,5192,3.5
105,7,5330,4.0
106,8,528,5.0
107,8,730,5.0
108,4,130,3.0
109,5,3730,3.0
110,5,5784,1.0
111,2,4267,4.5
112,7,4299,2.5
113,9,4045,2.0
114,3,6603,4.5
115,1,5133,4.5
116,8,2487,5.0
117,6,4206,2.0
118,1,3773,2.0
119,0,1713,3.5
120,3,3462,4.0
121,8,1688,5.0
122,3,6173,3.5
123,5,451,2.0
124,8,5925,4.0
125,6,2822,3.5
126,5,771,4.0
127,6,4286,3.0
128,7,3844,4.0
129,6,5656,2.0
130,9,4413,4.5
131,9,2921,2.0
132,9,3417,2.0
133,2,3861,5.0
134,9,3658,3.0
135,3,757,2.0
136,8,4995,5.0
137,9,5170,4.5
138,7,1714,5.0
139,7,5125,3.5
140,9,2986,4.0
141,9,4344,3.5
142,9,2121,3.0
143,0,1892,2.0
144,3,216,2.0
145,1,2674,4.0
146,7,1736,1.5
147,0,5241,3.5
148,3,3022,4.0
149,9,574,2.0
150,4,5330,4.0
151,2,2549,3.5
152,9,3049,3.0
153,1,2793,2.0
154,9,2326,3.0
155,9,1250,3.5
156,2,6367,3.5
157,6,4404,2.5
158,0,5484,3.0
159,6,1124,2.0
160,5,2667,3.0
161,7,5487,3.5
162,6,2364,4.5
163,9,1926,2.0
164,2,5942,4.0
165,4,1371,4.0
166,0,1327,3.5
167,7,2342,3.5
168,3,4661,4.5
169,3,4067,2.5
170,9,508,2.5
171,1,912,4.0
172,4,366,2.5
173,6,388,2.5
174,6,5547,3.5
175,3,1967,3.0
176,7,4643,3.5
177,5,4507,3.5
178,7,4669,5.0
179,8,5259,3.0
180,2,6147,2.5
181,6,4099,2.5
182,9,2503,4.0
183,6,62,2.5
184,5,5615,3.5
185,7,3774,3.5
186,7,4271,3.5
187,4,2494,3.0
188,7,20,3.0
189,0,455,4.0
190,6,4411,2.0
191,4,356,4.0
192,4,1125,2.5
193,6,4492,2.0
194,2,5382,4.5
195,8,6519,4.0
196,7,2565,3.5
197,9,5089,3.0
198,7,2385,2.0
199,6,114,2.0
200,7,1011,4.5
201,0,2480,3.0
202,7,3380,3.5
203,3,1844,3.5
204,9,990,3.0
205,6,5711,2.5
206,0,1498,3.0
207,2,3000,3.5
208,1,101,2.5
209,9,3636,4.0
210,5,1997,4.0
211,3,6485,4.0
212,9,2317,4.0
213,1,361,4.0
214,9,2124,2.0
215,4,4204,2.5
216,3,1806,4.0
217,9,1850,3.0
218,4,4747,2.5
219,1,5726,2.0
220,8,3075,3.0
221,0,1180,4.0
222,2,4133,4.0
223,8,3155,4.0
224,8,2312,3.0
225,0,2304,3.0
226,1,1499,4.0
227,5,5398,3.0
228,2,1012,4.0
229,4,3369,3.5
230,6,5965,3.0
231,9,1759,4.0
232,9,5970,3.5
233,3,2666,4.0
234,8,4368,4.0
235,9,343,3.0
236,6,2425,2.5
237,2,5830,3.5
238,4,5226,4.0
239,7,2090,3.0
240,0,4504,3.5
241,6,345,3.0
242,9,2026,1.0
243,6,1986,2.5
244,9,3976,4.0
245,3,868,3.0
246,9,898,5.0
247,7,3571,3.0
248,7,4766,3.5
249,3,1198,4.5
250,9,3851,3.0
251,4,4076,3.5
252,3,6516,3.0
253,7,4686,5.0
254,7,1161,2.0
255,8,4969,4.0
256,3,5817,3.5
257,9,1232,5.0
258,7,1517,3.5
259,2,6157,3.0
260,8,1545,4.0
261,6,6131,2.5
262,9,2408,5.0
263,9,3309,4.0
264,1,539,3.0
265,9,1972,3.0
266,9,1764,4.0
267,1,5326,2.5
268,7,179,3.5
269,7,674,3.5
270,0,2159,3.0
271,4,893,4.5
272,5,971,3.5
273,9,755,2.5
274,1,369,2.5
275,0,1487,3.0
276,8,3692,2.0
277,7,4498,4.0
278,3,3150,2.5
279,9,2173,5.0
280,3,5330,3.5
281,7,1310,2.0
282,3,881,3.5
283,4,1883,3.5
284,6,2,1.5
285,8,4054,3.0
286,6,1091,0.5
287,9,1595,3.0
288,8,3088,5.0
289,8,1114,2.0
290,3,1933,4.0
291,2,2845,4.5
292,6,2286,3.0
293,9,2524,2.0
294,4,5276,4.0
295,3,1219,2.5
296,0,1697,2.0
297,2,895,3.5
298,1,2719,5.0
299,8,6091,4.0
300,6,5541,3.0
301,0,4450,4.0
302,2,3368,3.0
303,1,5973,1.5
304,9,1068,3.0
305,9,1331,4.0
306,5,574,3.5
307,3,1171,4.0
308,5,2601,3.5
309,1,4012,3.0
310,9,4972,4.0
311,6,1635,2.5
312,5,5557,2.0
313,4,1544,4.0
314,7,1016,4.5
315,6,2401,4.5
316,3,4612,2.0
317,3,269,3.5
318,8,3418,3.0
319,7,3095,3.5
320,7,4384,2.5
321,9,6530,2.5
322,9,6126,4.5
323,6,5613,3.0
324,6,4867,3.0
325,1,6079,2.0
326,7,4100,3.5
327,9,3984,3.0
328,5,6551,3.5
329,9,2242,3.0
330,3,5129,4.5
331,9,4937,3.0
332,0,1033,3.5
333,4,5874,4.0
334,4,3554,4.5
335,7,2306,3.0
336,7,1366,3.5
337,7,6595,4.0
338,6,3532,1.0
339,5,246,4.5
340,0,2421,2.0
341,9,4304,4.5
342,7,2676,4.0
343,5,6571,1.5
344,6,1974,3.0
345,1,2388,2.0
346,6,150,3.0
347,4,4152,4.0
348,4,4238,4.0
349,8,305,3.0
350,9,2802,1.5
351,6,6171,3.0
352,4,6418,3.0
353,4,802,3.5
354,9,2847,3.0
355,7,4214,4.0
356,9,4755,2.5
357,7,1353,3.5
358,5,1556,3.5
359,3,746,2.5
360,2,5837,5.0
361,9,3926,3.5
362,6,1333,3.0
363,9,3758,3.0
364,7,4429,2.5
365,2,4092,3.0
366,9,1286,4.5
367,7,3367,3.5
368,3,1308,2.5
369,9,1969,4.0
370,0,2318,3.0
371,3,5578,3.5
372,0,3787,3.5
373,6,4950,2.5
374,1,1640,1.5
375,6,5838,3.0
376,7,321,3.5
377,8,6090,2.0
378,6,3893,3.0
379,4,3310,2.5
380,7,277,4.5
381,6,5834,3.5
382,0,333,3.5
383,0,2095,4.0
384,8,548,5.0
385,6,6600,4.0
386,7,4982,4.0
387,9,3082,3.0
388,5,2020,4.0
389,3,2881,2.0
390,2,749,4.5
391,8,1844,4.0
392,5,5948,3.5
393,2,77,3.5
394,8,6515,4.0
395,4,5196,4.0
396,6,650,2.5
397,6,1934,3.0
398,9,4541,4.0
399,7,3069,4.0
400,1,1156,4.0
401,7,2783,4.0
402,5,1377,3.5
403,0,4766,3.0
404,5,1481,3.0
405,2,4174,4.5
406,6,310,3.0
407,9,4843,4.0
408,5,4173,4.0
409,1,4125,1.5
410,9,2826,3.0
411,8,455,5.0
412,7,730,3.5
413,7,3820,4.0
414,0,2221,4.0
415,6,3325,1.5
416,3,6665,4.0
417,9,6107,4.5
418,9,4712,4.0
419,1,5718,4.0
420,2,4995,3.5
421,1,5745,2.0
422,6,1742,3.0
423,0,5243,2.5
424,5,1240,3.5
425,6,5562,2.5
426,6,3166,2.0
427,4,4706,3.5
428,6,2323,3.5
429,2,4467,4.5
430,7,3389,3.0
431,3,84,4.5
432,1,1408,4.0
433,1,813,3.0
434,8,805,4.0
435,9,4483,2.0
436,9,163,4.0
437,2,2878,4.5
438,5,562,2.5
439,1,3487,2.0
440,8,3948,3.0
441,3,2095,3.5
442,6,6621,3.5
443,6,2731,2.0
444,7,1164,4.0
445,1,3315,1.0
446,9,3913,2.5
447,4,923,4.5
448,9,3616,3.5
449,4,3963,3.5
450,6,594,3.0
451,1,3262,3.0
452,7,1238,4.0
453,7,2040,3.5
454,5,2999,3.5
455,9,2688,2.0
456,7,5399,4.0
457,1,1310,3.0
458,6,4224,2.5
459,8,2994,3.0
460,2,4882,4.0
461,6,3670,2.0
462,2,3094,3.5
463,3,4822,4.0
464,7,2567,2.0
465,9,3666,4.0
466,9,2418,2.0
467,7,3399,4.0
468,6,1665,2.5
469,9,118,4.0
470,2,1915,4.0
471,2,5204,4.5
472,2,3112,3.0
473,2,3616,4.0
474,9,5311,4.0
475,2,3540,2.5
476,3,5547,4.0
477,5,1166,3.5
478,9,3793,2.5
479,7,4525,4.0
480,6,1900,3.0
481,6,3069,3.0
482,3,145,2.0
483,9,3457,5.0
484,7,6596,4.0
485,3,2309,3.5
486,1,3722,3.5
487,0,3483,3.0
488,9,3209,3.0
489,1,3000,3.5
490,7,638,4.0
491,9,3019,1.5
492,0,3089,1.0
493,7,3728,1.5
494,9,757,5.0
495,2,6402,3.5
496,2,1709,5.0
497,1,3962,1.5
498,9,2834,3.0
499,9,6303,4.5
500,1,2930,3.0
501,6,3240,2.5
502,9,829,4.0
503,6,1020,3.0
504,3,2014,3.5
505,6,2893,1.5
506,7,2439,3.5
507,9,3391,4.0
508,6,2097,2.5
509,8,760,4.0
510,3,5249,4.5
511,3,6640,5.0
512,6,989,3.0
513,9,5041,4.0
514,6,2900,2.5
515,3,5936,4.5
516,4,169,3.0
