userId,movieId,rating
414,5463,4.0
610,4574,3.5
288,47,3.5
274,2617,3.5
599,366,1.5
610,2791,3.5
599,31367,2.0
606,1365,3.5
68,4720,3.0
606,1963,4.5
599,79132,3.0
610,4388,2.5
68,89470,3.5
599,180,3.0
610,82765,3.5
610,56757,3.5
414,2193,5.0
414,33493,4.0
274,4638,2.5
414,208,2.0
414,7010,3.0
68,3554,3.5
414,4229,3.0
448,2643,2.0
414,5785,4.0
68,56949,4.0
606,1857,3.5
599,45186,3.0
610,7361,5.0
448,1967,3.0
448,162828,2.5
274,1992,3.0
414,2133,4.0
68,1672,3.5
448,58025,1.5
68,63082,4.5
414,3825,2.0
448,7000,2.0
599,82667,3.0
274,1499,3.5
414,355,1.0
448,45221,2.0
274,3938,3.5
448,103819,3.0
380,1073,4.0
448,1240,3.0
414,2145,4.0
274,2863,3.5
274,31696,3.0
599,2278,3.0
68,56379,2.5
414,89,3.0
274,2428,4.0
68,5464,2.0
599,55205,2.5
288,4226,4.5
448,2713,2.0
599,122922,2.5
274,2762,4.0
68,66934,5.0
380,377,5.0
599,2078,3.0
610,1261,5.0
474,7051,3.0
288,3345,3.0
610,35836,4.5
606,2706,1.0
599,3556,2.5
599,3986,2.5
610,78469,2.5
606,3685,3.0
599,1895,2.5
68,93840,3.5
610,6863,4.5
610,102070,3.0
599,7707,2.0
599,33896,2.5
448,288,3.0
599,806,1.5
68,1136,3.5
448,437,2.0
380,79293,2.0
474,27,2.0
414,4728,3.0
448,89904,4.0
68,1198,5.0
274,6702,2.0
610,1663,4.5
274,1200,4.0
68,1027,3.0
474,8609,3.5
448,80727,2.5
474,8712,3.0
599,26701,3.0
448,152077,2.5
414,8810,2.0
274,2770,2.0
414,4678,3.0
474,44191,4.0
414,4326,3.0
606,6350,4.0
474,1653,4.5
380,1911,3.0
448,85022,3.0
448,106920,3.5
474,8961,4.0
380,720,5.0
380,33794,5.0
606,172,3.0
274,5459,3.0
274,43904,1.0
610,6440,4.5
474,6534,2.5
414,6039,2.0
68,65188,4.5
448,106782,4.5
380,3535,5.0
599,6322,2.0
448,5523,2.0
288,2393,3.5
68,70521,4.0
380,2366,5.0
68,95441,3.5
274,585,2.0
380,60818,4.0
599,4008,3.5
274,1079,4.0
599,6502,3.0
474,5632,4.0
599,26778,2.0
414,6711,4.5
414,4148,2.0
414,4929,2.0
610,5673,5.0
414,5337,3.0
68,1060,2.0
380,40815,5.0
414,139644,4.5
474,2394,5.0
474,8459,3.5
414,4248,4.0
414,6598,3.5
414,2991,3.0
288,2643,2.0
68,282,2.0
448,134881,4.0
